ip.src,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed,Satus
10.18.20.97,91.199.212.52,80,52,23.521779,0
10.18.20.97,91.199.212.52,80,52,0.002316,0
10.18.20.97,91.199.212.52,80,40,5.371658,0
10.18.20.97,91.199.212.52,80,40,0.328559,0
10.18.20.97,91.199.212.52,80,40,0.069692,0
10.18.20.97,91.199.212.52,80,40,0.006962,0
10.18.20.97,91.199.212.52,80,40,0.004981,0
10.18.20.97,91.199.212.52,80,40,0.004186,0
10.18.20.97,91.199.212.52,80,40,0.000105,0
10.18.20.97,91.199.212.52,80,40,9E-05,0
10.18.20.97,91.199.212.52,80,183,0.000449,0
10.18.20.97,91.199.212.52,80,183,0.000146,0
10.18.20.97,8.208.24.139,80,94,0.000182,1
10.18.20.97,8.208.24.139,80,683,0.000295,1
10.18.20.97,8.208.24.139,80,679,0.000327,1
10.18.20.97,8.208.24.139,80,678,0.000231,1
10.18.20.97,8.208.24.139,80,678,0.000155,1
10.18.20.97,8.208.24.139,80,637,0.000193,1
10.18.20.97,8.208.24.139,80,634,0.000221,1
10.18.20.97,8.208.24.139,80,634,0.000198,1
10.18.20.97,8.208.24.139,80,627,0.00018,1
10.18.20.97,8.208.24.139,80,620,0.000245,1
10.18.20.97,8.208.24.139,80,613,0.000236,1
10.18.20.97,8.208.24.139,80,612,0.000558,1
10.18.20.97,8.208.24.139,80,608,0.000179,1
10.18.20.97,8.208.24.139,80,608,0.000114,1
10.18.20.97,8.208.24.139,80,590,0.00029,1
10.18.20.97,8.208.24.139,80,588,0.000158,1
10.18.20.97,8.208.24.139,80,52,5.425346,1
10.18.20.97,8.208.24.139,80,52,4.090076,1
10.18.20.97,8.208.24.139,80,52,35.034289,1
10.18.20.97,8.208.24.139,80,52,299.178927,1
10.18.20.97,8.208.24.139,80,52,299.177904,1
10.18.20.97,8.208.24.139,80,52,259.651759,1
10.18.20.97,8.208.24.139,80,52,13.48234,1
10.18.20.97,8.208.24.139,80,52,1.252144,1
10.18.20.97,8.208.24.139,80,52,123.499218,1
10.18.20.97,8.208.24.139,80,52,10.35102,1
10.18.20.97,8.208.24.139,80,52,0.733949,1
10.18.20.97,8.208.24.139,80,52,0.286465,1
10.18.20.97,8.208.24.139,80,52,0.205188,1
10.18.20.97,8.208.24.139,80,52,0.196581,1
10.18.20.97,8.208.24.139,80,52,0.192909,1
10.18.20.97,8.208.24.139,80,52,0.180484,1
10.18.20.97,8.208.24.139,80,52,8.7E-05,1
10.18.20.97,8.208.24.139,80,52,6.7E-05,1
10.18.20.97,8.208.24.139,80,52,6.6E-05,1
10.18.20.97,8.208.24.139,80,473,0.000317,1
10.18.20.97,8.208.24.139,80,473,0.000125,1
