frame.time_relative,frame.len
0.000000000,110
0.000217000,110
0.000456000,110
0.046891000,92
0.047296000,108
0.048191000,162
0.049201000,162
0.154107000,179
0.342730000,86
0.435444000,62
0.452254000,179
0.701145000,208
0.706834000,66
0.779564000,110
0.779783000,110
0.780071000,110
0.822293000,58
0.822889000,54
0.823833000,265
0.823983000,54
0.842930000,82
0.987796000,188
0.989436000,66
0.993968000,1436
0.996961000,1436
0.997248000,54
0.999544000,1436
1.002460000,1436
1.002791000,54
1.004601000,731
1.009560000,212
1.009661000,54
1.071811000,58
1.072075000,54
1.073256000,238
1.073315000,54
1.141815000,105
1.142721000,123
1.142891000,141
1.142973000,54
1.142982000,92
1.143007000,54
1.143126000,1459
1.143177000,54
1.143260000,844
1.143324000,54
1.183630000,1436
1.184553000,132
1.184892000,54
1.187229000,1436
1.188399000,132
1.188621000,54
1.190578000,1177
1.194020000,212
1.194102000,54
1.289003000,92
1.290348000,105
1.295425000,402
1.295529000,54
1.295626000,1147
1.295720000,54
1.295907000,301
1.295998000,54
1.341917000,54
1.422408000,334
1.429094000,96
1.434179000,1436
1.434608000,54
1.435936000,1436
1.437760000,179
1.452937000,1436
1.453399000,54
1.454957000,1436
1.457324000,1436
1.457743000,54
1.459192000,1397
1.459770000,92
1.460082000,54
1.462304000,54
1.462477000,54
1.481762000,54
1.504954000,66
1.530180000,110
1.530356000,110
1.530466000,110
1.553480000,155
1.556280000,232
1.556737000,54
1.565803000,273
1.565901000,54
1.573643000,96
1.574030000,54
1.663827000,58
1.664304000,54
1.664605000,155
1.665196000,265
1.665303000,54
1.718041000,54
1.824338000,1436
1.825682000,1436
1.825969000,54
1.827483000,1436
1.828952000,1436
1.829175000,54
1.830014000,731
1.833608000,212
1.833691000,54
1.971458000,105
1.972002000,123
1.972292000,54
1.973527000,141
1.973656000,54
1.973721000,92
1.973777000,54
1.973866000,1459
1.973974000,54
1.974041000,844
1.974133000,54
2.147281000,92
2.201198000,54
2.280406000,110
2.280624000,110
2.280767000,110
2.302252000,96
2.303826000,1436
2.304271000,54
2.305425000,1436
2.306884000,1436
2.307220000,54
2.309039000,1436
2.310521000,1436
2.310741000,54
2.312158000,1326
2.312606000,92
2.312807000,54
2.314174000,54
2.314262000,54
2.463351000,54
2.463622000,54
2.764709000,81
2.765001000,160
2.956995000,92
2.957320000,171
2.959178000,160
2.960101000,160
2.961050000,84
2.961270000,179
2.962991000,174
2.963796000,174
3.169927000,179
3.280886000,76
3.420737000,92
3.701633000,92
3.702083000,108
3.703061000,66
3.703310000,66
3.703964000,66
3.704132000,54
3.704216000,66
3.704375000,54
3.704588000,127
3.704994000,306
3.705187000,330
3.705347000,1514
3.705358000,563
3.705584000,366
3.705679000,54
3.706640000,264
3.706889000,1514
3.706900000,1514
3.706905000,578
3.707053000,54
3.707169000,97
3.707456000,54
3.708212000,54
3.708317000,54
3.709267000,314
3.709773000,208
3.709976000,138
3.710323000,178
3.710543000,322
3.710615000,182
3.711065000,278
3.711518000,54
3.769767000,66
3.907545000,58
3.907738000,54
3.908959000,238
3.909053000,54
4.065976000,1436
4.066614000,132
4.066856000,54
4.068311000,1436
4.070532000,132
4.070994000,54
4.071863000,1177
4.076597000,212
4.076684000,54
4.223893000,105
4.225442000,402
4.225523000,54
4.225591000,1147
4.225666000,54
4.225793000,157
4.225847000,54
4.382386000,335
4.437141000,54
4.437521000,179
4.549415000,155
4.550027000,321
4.550310000,54
4.551582000,153
4.551687000,54
4.701632000,174
4.749012000,54
7.437433000,179
14.482615000,126
14.483056000,126
14.483452000,126
14.483741000,126
14.484245000,54
19.235795000,81
19.236050000,160
46.703094000,153
46.703303000,54
46.816556000,223
46.873749000,54
