ip.src,ip.dst,udp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,10.6.12.12,53,99,0.100290000
10.6.12.203,10.6.12.12,53,94,0.146692000
10.6.12.203,10.6.12.12,53,94,0.010198000
10.6.12.203,10.6.12.12,53,94,0.000858000
10.6.12.203,10.6.12.12,53,94,0.000604000
10.6.12.203,10.6.12.12,53,82,5.398714000
10.6.12.203,10.6.12.12,53,79,0.039292000
10.6.12.203,10.6.12.12,53,78,1.049611000
10.6.12.203,10.6.12.12,53,77,16.077599000
10.6.12.203,10.6.12.12,53,77,1.013804000
10.6.12.203,10.6.12.12,53,77,0.994698000
10.6.12.203,10.6.12.12,53,77,0.481627000
10.6.12.203,10.6.12.12,53,77,0.243525000
10.6.12.203,10.6.12.12,53,77,0.235427000
10.6.12.203,10.6.12.12,53,77,0.101201000
10.6.12.203,10.6.12.12,53,77,0.019495000
10.6.12.203,10.6.12.12,53,77,0.017260000
10.6.12.203,10.6.12.12,53,76,7.492867000
10.6.12.203,10.6.12.12,53,76,54.535801000
10.6.12.203,10.6.12.12,53,76,20.927557000
10.6.12.203,10.6.12.12,53,76,19.679140000
10.6.12.203,10.6.12.12,53,76,0.891210000
10.6.12.203,10.6.12.12,53,76,0.417114000
10.6.12.203,10.6.12.12,53,76,0.081410000
10.6.12.203,10.6.12.12,53,76,0.059070000
10.6.12.203,10.6.12.12,53,76,0.046313000
10.6.12.203,10.6.12.12,53,76,0.031210000
10.6.12.203,10.6.12.12,53,76,0.019768000
10.6.12.203,10.6.12.12,53,76,0.007816000
10.6.12.203,10.6.12.12,53,75,21.448938000
10.6.12.203,10.6.12.12,53,75,1.807612000
10.6.12.203,10.6.12.12,53,75,1.344503000
10.6.12.203,10.6.12.12,53,75,1.314954000
10.6.12.203,10.6.12.12,53,75,1.011341000
10.6.12.203,10.6.12.12,53,75,0.296642000
10.6.12.203,10.6.12.12,53,75,0.293567000
10.6.12.203,10.6.12.12,53,75,0.272237000
10.6.12.203,10.6.12.12,53,75,0.156943000
10.6.12.203,10.6.12.12,53,75,0.125978000
10.6.12.203,10.6.12.12,53,72,0.856989000
10.6.12.203,10.6.12.12,53,72,0.250006000
10.6.12.203,10.6.12.12,53,72,0.051266000
10.6.12.203,10.6.12.12,53,72,0.033912000
10.6.12.203,10.6.12.12,53,72,0.024123000
10.6.12.203,10.6.12.12,53,71,0.444087000
10.6.12.203,10.6.12.12,53,70,29.592766000
10.6.12.203,10.6.12.12,53,69,0.024160000
10.6.12.203,10.6.12.12,53,68,30.881395000
10.6.12.203,10.6.12.12,53,68,19.758579000
10.6.12.203,10.6.12.12,53,68,0.132366000
10.6.12.203,10.6.12.12,53,68,0.034940000
10.6.12.203,10.6.12.12,53,68,0.014652000
10.6.12.203,10.6.12.12,53,67,9.400453000
10.6.12.203,10.6.12.12,53,66,9.360744000
10.6.12.203,10.6.12.12,53,66,58.677114000
10.6.12.203,10.6.12.12,53,66,4.142543000
10.6.12.203,10.6.12.12,53,66,241.621439000
10.6.12.203,10.6.12.12,53,66,1.399966000
10.6.12.203,10.6.12.12,53,66,0.373268000
10.6.12.203,10.6.12.12,53,66,0.206904000
10.6.12.203,10.6.12.12,53,66,0.127707000
10.6.12.203,10.6.12.12,53,66,0.032405000
10.6.12.203,10.6.12.12,53,66,0.004767000
10.6.12.203,10.6.12.12,53,66,0.000622000
10.6.12.203,10.6.12.12,53,65,0.048682000
10.6.12.203,10.6.12.12,53,63,0.102179000
10.6.12.203,10.6.12.12,53,62,0.215485000
10.6.12.203,10.6.12.12,53,62,0.049367000
10.6.12.203,10.6.12.12,53,62,0.048872000
10.6.12.203,10.6.12.12,53,62,0.044103000
10.6.12.203,10.6.12.12,53,62,0.037450000
10.6.12.203,10.6.12.12,53,62,0.002556000
10.6.12.203,10.6.12.12,53,62,0.000996000
10.6.12.203,10.6.12.12,53,62,0.000916000
10.6.12.203,10.6.12.12,53,62,0.000853000
10.6.12.203,10.6.12.12,53,62,0.000822000
10.6.12.203,10.6.12.12,53,62,0.000658000
10.6.12.203,10.6.12.12,53,62,0.000563000
10.6.12.203,10.6.12.12,53,62,0.000537000
10.6.12.203,10.6.12.12,53,61,7.792994000
10.6.12.203,10.6.12.12,53,58,8.583932000
10.6.12.203,10.6.12.12,53,58,3.157474000
10.6.12.203,10.6.12.12,53,144,0.002195000
10.6.12.203,10.6.12.12,53,125,5.536930000
10.6.12.203,10.6.12.12,53,125,0.028829000
10.6.12.203,10.6.12.12,53,125,0.028134000
10.6.12.203,10.6.12.12,53,125,0.002876000
10.6.12.203,10.6.12.12,53,125,0.001168000
10.6.12.203,10.6.12.12,53,125,0.000884000
10.6.12.203,10.6.12.12,53,118,0.190206000
10.6.12.203,10.6.12.12,53,118,0.119857000
10.6.12.203,10.6.12.12,53,113,2.007392000
10.6.12.203,10.6.12.12,53,113,11.799791000
10.6.12.203,10.6.12.12,53,113,117.646901000
10.6.12.203,10.6.12.12,53,113,0.558378000
10.6.12.203,10.6.12.12,53,103,0.108885000
10.6.12.157,10.6.12.12,53,82,0.000000000
10.6.12.157,10.6.12.12,53,79,1.282538000
10.6.12.157,10.6.12.12,53,78,0.000174000
10.6.12.157,10.6.12.12,53,77,91.360874000
10.6.12.157,10.6.12.12,53,77,0.509407000
10.6.12.157,10.6.12.12,53,77,0.413919000
10.6.12.157,10.6.12.12,53,77,0.000311000
10.6.12.157,10.6.12.12,53,76,7.884451000
10.6.12.157,10.6.12.12,53,76,52.383732000
10.6.12.157,10.6.12.12,53,76,4.634298000
10.6.12.157,10.6.12.12,53,76,1.236558000
10.6.12.157,10.6.12.12,53,76,0.158876000
10.6.12.157,10.6.12.12,53,76,0.043629000
10.6.12.157,10.6.12.12,53,76,0.015425000
10.6.12.157,10.6.12.12,53,76,0.014958000
10.6.12.157,10.6.12.12,53,76,0.006137000
10.6.12.157,10.6.12.12,53,76,0.001701000
10.6.12.157,10.6.12.12,53,75,39.102535000
10.6.12.157,10.6.12.12,53,75,1.406319000
10.6.12.157,10.6.12.12,53,75,1.261141000
10.6.12.157,10.6.12.12,53,75,1.012078000
10.6.12.157,10.6.12.12,53,75,1.000238000
10.6.12.157,10.6.12.12,53,75,0.485027000
10.6.12.157,10.6.12.12,53,75,0.407687000
10.6.12.157,10.6.12.12,53,75,0.390860000
10.6.12.157,10.6.12.12,53,75,0.287226000
10.6.12.157,10.6.12.12,53,75,0.074747000
10.6.12.157,10.6.12.12,53,75,0.060622000
10.6.12.157,10.6.12.12,53,75,0.014402000
10.6.12.157,10.6.12.12,53,74,0.696358000
10.6.12.157,10.6.12.12,53,73,4.089968000
10.6.12.157,10.6.12.12,53,72,1.827482000
10.6.12.157,10.6.12.12,53,72,1.753077000
10.6.12.157,10.6.12.12,53,72,129.474274000
10.6.12.157,10.6.12.12,53,72,1.016367000
10.6.12.157,10.6.12.12,53,72,0.986710000
10.6.12.157,10.6.12.12,53,72,0.940696000
10.6.12.157,10.6.12.12,53,72,0.937786000
10.6.12.157,10.6.12.12,53,72,0.739074000
10.6.12.157,10.6.12.12,53,72,0.723763000
10.6.12.157,10.6.12.12,53,72,0.644024000
10.6.12.157,10.6.12.12,53,72,0.607094000
10.6.12.157,10.6.12.12,53,72,0.451018000
10.6.12.157,10.6.12.12,53,72,0.379262000
10.6.12.157,10.6.12.12,53,72,0.361775000
10.6.12.157,10.6.12.12,53,72,0.000744000
10.6.12.157,10.6.12.12,53,71,0.423218000
10.6.12.157,10.6.12.12,53,71,0.000368000
10.6.12.157,10.6.12.12,53,69,0.062625000
10.6.12.157,10.6.12.12,53,68,60.411103000
10.6.12.157,10.6.12.12,53,68,132.765150000
10.6.12.157,10.6.12.12,53,68,0.233160000
10.6.12.157,10.6.12.12,53,68,0.215013000
10.6.12.157,10.6.12.12,53,68,0.008940000
10.6.12.157,10.6.12.12,53,67,1.004628000
10.6.12.157,10.6.12.12,53,67,0.222886000
10.6.12.157,10.6.12.12,53,66,7.959538000
10.6.12.157,10.6.12.12,53,66,2.788560000
10.6.12.157,10.6.12.12,53,66,2.474022000
10.6.12.157,10.6.12.12,53,66,1.441362000
10.6.12.157,10.6.12.12,53,66,1.338378000
10.6.12.157,10.6.12.12,53,66,1.338336000
10.6.12.157,10.6.12.12,53,66,0.978224000
10.6.12.157,10.6.12.12,53,66,0.870934000
10.6.12.157,10.6.12.12,53,66,0.483193000
10.6.12.157,10.6.12.12,53,66,0.468492000
10.6.12.157,10.6.12.12,53,66,0.453376000
10.6.12.157,10.6.12.12,53,66,0.428736000
10.6.12.157,10.6.12.12,53,66,0.098746000
10.6.12.157,10.6.12.12,53,66,0.001976000
10.6.12.157,10.6.12.12,53,66,0.000703000
10.6.12.157,10.6.12.12,53,66,0.000441000
10.6.12.157,10.6.12.12,53,64,3.134566000
10.6.12.157,10.6.12.12,53,64,0.014301000
10.6.12.157,10.6.12.12,53,62,0.590473000
10.6.12.157,10.6.12.12,53,62,0.152696000
10.6.12.157,10.6.12.12,53,62,0.139529000
10.6.12.157,10.6.12.12,53,62,0.138586000
10.6.12.157,10.6.12.12,53,62,0.136653000
10.6.12.157,10.6.12.12,53,61,6.091975000
10.6.12.157,10.6.12.12,53,58,3.963152000
10.6.12.157,10.6.12.12,53,58,3.891671000
10.6.12.157,10.6.12.12,53,143,0.002231000
10.6.12.157,10.6.12.12,53,118,0.210019000
10.6.12.157,10.6.12.12,53,118,0.130716000
10.6.12.157,10.6.12.12,53,113,2.614874000
10.6.12.157,10.6.12.12,53,113,2.004574000
10.6.12.157,10.6.12.12,53,113,0.335247000
10.6.12.157,10.6.12.12,53,103,0.132125000
10.6.12.12,8.8.8.8,53,97,0.000447000
10.6.12.12,8.8.8.8,53,97,0.000372000
10.6.12.12,8.8.8.8,53,97,0.000284000
10.6.12.12,8.8.8.8,53,97,0.000283000
10.6.12.12,8.8.8.8,53,95,0.000316000
10.6.12.12,8.8.8.8,53,93,0.000376000
10.6.12.12,8.8.8.8,53,92,0.000366000
10.6.12.12,8.8.8.8,53,92,0.000283000
10.6.12.12,8.8.8.8,53,92,0.000194000
10.6.12.12,8.8.8.8,53,90,0.095316000
10.6.12.12,8.8.8.8,53,90,0.000575000
10.6.12.12,8.8.8.8,53,90,0.000433000
10.6.12.12,8.8.8.8,53,90,0.000409000
10.6.12.12,8.8.8.8,53,90,0.000401000
10.6.12.12,8.8.8.8,53,90,0.000391000
10.6.12.12,8.8.8.8,53,90,0.000383000
10.6.12.12,8.8.8.8,53,90,0.000355000
10.6.12.12,8.8.8.8,53,90,0.000351000
10.6.12.12,8.8.8.8,53,90,0.000339000
10.6.12.12,8.8.8.8,53,90,0.000337000
10.6.12.12,8.8.8.8,53,90,0.000303000
10.6.12.12,8.8.8.8,53,90,0.000293000
10.6.12.12,8.8.8.8,53,88,0.000239000
10.6.12.12,8.8.8.8,53,87,0.000431000
10.6.12.12,8.8.8.8,53,86,0.000336000
10.6.12.12,8.8.8.8,53,83,0.000606000
10.6.12.12,8.8.8.8,53,83,0.000575000
10.6.12.12,8.8.8.8,53,83,0.000560000
10.6.12.12,8.8.8.8,53,83,0.000381000
10.6.12.12,8.8.8.8,53,83,0.000364000
