ip.addr,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,5.101.51.151,5.101.51.151,80,904,0.000120000
10.6.12.203,5.101.51.151,5.101.51.151,80,876,0.000550000
10.6.12.203,5.101.51.151,5.101.51.151,80,802,0.000109000
10.6.12.203,5.101.51.151,5.101.51.151,80,784,0.000520000
10.6.12.203,5.101.51.151,5.101.51.151,80,735,0.000261000
10.6.12.203,5.101.51.151,5.101.51.151,80,699,0.000451000
10.6.12.203,5.101.51.151,5.101.51.151,80,691,0.000008000
10.6.12.203,5.101.51.151,5.101.51.151,80,654,0.000130000
10.6.12.203,5.101.51.151,5.101.51.151,80,635,0.000149000
10.6.12.203,5.101.51.151,5.101.51.151,80,632,0.001221000
10.6.12.203,5.101.51.151,5.101.51.151,80,624,0.000290000
10.6.12.203,5.101.51.151,5.101.51.151,80,571,0.000357000
10.6.12.203,5.101.51.151,5.101.51.151,80,570,0.000066000
10.6.12.203,5.101.51.151,5.101.51.151,80,565,0.000336000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,44.240108000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,1.012180000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,1.008485000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,1.004598000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.288985000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.138296000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.048666000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.042216000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.017159000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.002546000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.000391000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.000369000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.000308000
10.6.12.203,5.101.51.151,5.101.51.151,80,52,0.000256000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.449426000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.412172000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.347384000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.320594000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.307858000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.281442000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.206484000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.202125000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.201481000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.201237000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.200126000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.198516000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.197261000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.194345000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.184183000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.176094000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.131707000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.130079000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.122398000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.116390000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.104844000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.103014000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.089749000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.081324000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.079968000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.077652000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.074573000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.074500000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.072817000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.068300000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.055832000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.055801000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.054232000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.052883000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.050987000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.048472000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.046065000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.044980000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.044852000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.041637000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.040004000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.038464000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.038218000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.032515000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.031803000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.029946000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.029581000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.028811000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.028385000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.028191000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.024980000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.023351000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.022766000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.022295000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.021408000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.020361000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.020177000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.019384000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.018568000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.018433000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.018299000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.016537000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.015872000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.015600000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.015407000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.014485000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.014165000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.014014000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.013116000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.013065000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.011882000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.011502000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.011471000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.010510000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.010007000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.009489000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.009434000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.009429000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.009021000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.009000000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.008433000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.008383000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.008274000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.008265000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.007779000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.007728000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.007664000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.007205000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.007150000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.007147000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006975000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006836000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006783000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006753000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006750000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006541000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006510000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006483000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006468000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006387000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006341000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.006101000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005826000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005811000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005620000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005520000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005460000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005361000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005286000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005255000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005179000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.005091000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004971000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004918000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004878000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004874000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004762000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004721000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004693000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004659000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004627000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004587000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004538000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004432000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004407000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004376000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004328000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004172000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004139000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004082000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.004066000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003775000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003717000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003675000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003674000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003617000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003597000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003588000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003581000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003514000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003434000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003427000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003401000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003341000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003338000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003322000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003320000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003199000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003166000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003158000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003135000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003127000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003079000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003072000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.003010000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002997000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002995000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002990000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002989000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002955000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002872000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002854000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002778000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002763000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002756000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002609000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002596000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002590000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002562000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002414000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002329000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002318000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002174000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002160000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002157000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002153000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002103000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002096000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.002001000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001974000
10.6.12.203,5.101.51.151,5.101.51.151,80,40,0.001956000
