ip.addr,ip.dst,tcp.dstport,ip.len,frame.time_delta_displayed
10.6.12.203,65.52.7.224,65.52.7.224,443,78,0.000674000
10.6.12.203,65.52.7.224,65.52.7.224,443,52,0.058983000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.050545000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.029787000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.023165000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.000577000
10.6.12.203,65.52.7.224,65.52.7.224,443,40,0.000457000
10.6.12.203,65.52.7.224,65.52.7.224,443,279,0.018763000
10.6.12.203,65.52.7.224,65.52.7.224,443,133,0.014130000
10.6.12.203,65.52.7.224,65.52.7.224,443,127,0.007956000
10.6.12.203,52.243.159.155,52.243.159.155,443,78,0.011952000
10.6.12.203,52.243.159.155,52.243.159.155,443,52,0.029970000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.114711000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.062058000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.008084000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.003457000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.002501000
10.6.12.203,52.243.159.155,52.243.159.155,443,40,0.000448000
10.6.12.203,52.243.159.155,52.243.159.155,443,245,0.001696000
10.6.12.203,52.243.159.155,52.243.159.155,443,198,0.022453000
10.6.12.203,52.243.159.155,52.243.159.155,443,127,0.008375000
10.6.12.203,52.230.222.68,52.230.222.68,443,40,0.004993000
10.6.12.203,52.179.224.121,52.179.224.121,443,52,0.008631000
10.6.12.203,52.179.224.121,52.179.224.121,443,52,0.002671000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.155130000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.141068000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.111667000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.100943000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.091423000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.087444000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.044449000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.028194000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.025899000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.002176000
10.6.12.203,52.179.224.121,52.179.224.121,443,40,0.000688000
10.6.12.203,52.179.224.121,52.179.224.121,443,388,0.000074000
10.6.12.203,52.179.224.121,52.179.224.121,443,387,0.084646000
10.6.12.203,52.179.224.121,52.179.224.121,443,287,0.000086000
10.6.12.203,52.179.224.121,52.179.224.121,443,259,0.001238000
10.6.12.203,52.179.224.121,52.179.224.121,443,224,0.001296000
10.6.12.203,52.179.224.121,52.179.224.121,443,224,0.001115000
10.6.12.203,52.179.224.121,52.179.224.121,443,142,0.000260000
10.6.12.203,52.179.224.121,52.179.224.121,443,139,93.203662000
10.6.12.203,52.179.224.121,52.179.224.121,443,139,48.858256000
10.6.12.203,52.179.224.121,52.179.224.121,443,139,0.000803000
10.6.12.203,52.179.224.121,52.179.224.121,443,133,0.003047000
10.6.12.203,52.179.224.121,52.179.224.121,443,133,0.002210000
10.6.12.203,52.179.224.121,52.179.224.121,443,1145,0.000238000
10.6.12.203,52.179.224.121,52.179.224.121,443,1144,0.000284000
10.6.12.203,52.177.166.224,52.177.166.224,443,52,59.111763000
10.6.12.203,52.177.166.224,52.177.166.224,443,52,0.017433000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,1.038255000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.147199000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.107128000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.106243000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.101885000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.064029000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.058236000
10.6.12.203,52.177.166.224,52.177.166.224,443,40,0.031043000
10.6.12.203,52.177.166.224,52.177.166.224,443,388,0.113930000
10.6.12.203,52.177.166.224,52.177.166.224,443,388,0.045575000
10.6.12.203,52.177.166.224,52.177.166.224,443,287,0.000346000
10.6.12.203,52.177.166.224,52.177.166.224,443,259,0.005510000
10.6.12.203,52.177.166.224,52.177.166.224,443,224,0.001907000
10.6.12.203,52.177.166.224,52.177.166.224,443,224,0.001708000
10.6.12.203,52.177.166.224,52.177.166.224,443,143,0.000476000
10.6.12.203,52.177.166.224,52.177.166.224,443,139,0.001958000
10.6.12.203,52.177.166.224,52.177.166.224,443,133,0.002167000
10.6.12.203,52.177.166.224,52.177.166.224,443,133,0.001804000
10.6.12.203,52.177.166.224,52.177.166.224,443,1145,0.000407000
10.6.12.203,52.177.166.224,52.177.166.224,443,1145,0.000295000
10.6.12.203,52.148.151.26,52.148.151.26,443,78,0.000175000
10.6.12.203,52.148.151.26,52.148.151.26,443,546,0.000126000
10.6.12.203,52.148.151.26,52.148.151.26,443,52,19.636406000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.180685000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.142791000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.139069000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.134799000
10.6.12.203,52.148.151.26,52.148.151.26,443,40,0.103875000
10.6.12.203,52.148.151.26,52.148.151.26,443,256,0.000791000
10.6.12.203,52.148.151.26,52.148.151.26,443,166,0.003473000
10.6.12.203,52.148.151.26,52.148.151.26,443,127,0.149018000
10.6.12.203,52.114.74.45,52.114.74.45,443,91,0.001394000
10.6.12.203,52.114.74.45,52.114.74.45,443,898,0.001830000
10.6.12.203,52.114.74.45,52.114.74.45,443,898,0.000922000
10.6.12.203,52.114.74.45,52.114.74.45,443,52,245.080001000
10.6.12.203,52.114.74.45,52.114.74.45,443,52,20.585607000
10.6.12.203,52.114.74.45,52.114.74.45,443,52,173.714662000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,16.001424000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.405250000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.278936000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.181765000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.180028000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.162155000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.161992000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.160959000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.160343000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.160339000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.159061000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.158708000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.157471000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.155141000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.113044000
10.6.12.203,52.114.74.45,52.114.74.45,443,40,0.000311000
